ISIN;NAME;x1999;x2000;x2001;x2002;x2003;x2004;x2005;x2006;x2007;x2008;x2009;x2010;x2011;x2012;x2013;x2014;x2015;x2016;x2017;x2018;x2019;x2020
AEA000201011;ABU DHABI COML.BANK;;;;;;;;;;;;;;;0.635511729;0.608883444;0.628201127;0.570183155;0.549080153;0.441011089;0.393495894;
AEA000701010;WAHA CAPITAL;;;;;;;;;;;;;;;19.19564379;18.84180929;18.85395577;18.33260418;17.84780776;17.3512175;17.57588563;
AEA000801018;ABU DHABI ISLAMIC BANK;;;;;;;;;;;;;;;;;;;;0.994607367;0.898398423;
AEA001201010;AMLAK FINANCE;;;;;;;;;;;;;;;;;;0.538608439;5.75912988;6.638520715;5.60376765;
AEA001501013;ARABTEC HOLDING SUSP - SUSP.30/09/20;;;;;;;;;29.88485524;;;;;;26.47427295;24.96288275;25.03303301;24.43208787;124.4145861;63.5042534;61.42136032;
AEA001901015;AGTHIA GROUP SUSP - SUSP.09/04/21;;;;;;;;;;;;;;;50.12790505;42.30495732;43.46854103;47.9104494;48.19165955;48.18286367;47.39422847;
AEA002001013;ALDAR PROPERTIES;;;;;;;;;;14.49985;17.89287255;18.40160425;15.3022617;14.50520405;16.05508506;15.07599384;17.16559966;18.11553077;17.41873245;16.94141876;17.00675371;
AEA003001012;AIR ARABIA;;;;;;;;;;;;;;;1129.440721;1059.197229;1089.636442;1129.689364;1152.773291;1130.448821;1081.875652;
AEA003201018;AJMAN BANK;;;;;;;;;;;;;;;;;;1.033819514;0.877510997;0.799021468;0.744695299;
AEA005901011;AMANAT HOLDINGS;;;;;;;;;;;;;;;;;;6.820943802;6.806786535;6.817595561;6.86619208;
AEA006101017;ADB.NAT.OIL CO.FOR DS. PJSC;;;;;;;;;;;;;;;;;;;11.71042852;14.76335634;14.76728415;
AEB000101011;BANK OF SHARJAH SUSP - SUSP.03/04/21;;;;;;;;;;;;;;;;;;1.045287595;0.894851211;0.809963936;0.754586303;
AED000201015;DUBAI ISLAMIC BANK;;;;;;;;;;;;;;;0.971438694;2.324620605;2.155951149;1.63335452;1.365930875;1.210444139;1.036396011;
AED000601016;DUBAI INVESTMENT;;;;;;;;;;;;;;;54.48641415;47.62353245;55.80847651;53.39876136;54.76687261;48.32439254;49.94812014;
AED000701014;DANA GAS;;;;;;;;;;;;;;;274.3337905;259.1135692;247.155126;167.3572832;125.444454;152.5640053;348.366;
AED000901010;DUBAI FINANCIAL MARKET;;;;;;;;;;0.613434;0.590799878;0.584790468;0.561900499;0.554503877;0.546186318;0.549906091;0.55416959;0.538608439;0.526847477;0.429761346;0.411037749;
AED001001018;DEYAAR DEVELOPMENT;;;;;;;;;;;;;;;13.36342862;13.41021244;14.15205389;13.87105973;13.58033668;12.9947179;12.88097955;
